Scierie,47.61490100,6.78142400
Secs Prés,47.62280400,6.99812900
Sellier,47.63267700,6.86835700
Sermamagny,47.69258300,6.83550100
Sernam,47.63096000,6.85553100
Serrurerie,47.74174600,6.77709200
Signoret,47.62953400,6.84055600
Sorbier,47.67127100,6.99052700
Sources,47.65367400,6.99831300
St Antonin,47.61347900,6.83955800
St Georges,47.73370600,6.84993200
St Martin,47.63596000,6.99598300
Stade,47.51454900,7.00099900
Ste Thérèse,47.64076000,6.83810100
Strasbourg,47.64605600,6.85525100
Strolz,47.63932400,6.85594100
Suarce,47.56542200,7.07836000
Sur la Ville,47.70548500,6.97724200
Sévenans UTBM,47.58586100,6.86637500
Taillis,47.68124400,6.78893200
Techn'Hom 1/UTBM,47.64138000,6.84170300
Techn'Hom 2,47.64762800,6.83924900
Techn'Hom 3,47.65179400,6.83717900
Techn'Hom Cravanche,47.65291500,6.83241000
Terrasses,47.63832000,6.83293400
Terrières,47.51419500,7.06826400
Thiamont,47.66665100,6.78902900
Thiancourt,47.52279700,6.98756100
Thiers,47.74321600,6.82143000
Tilleul,47.65727300,6.99736200
Tramway,47.66918700,6.93669300
Trémont,47.62147000,6.92209500
Trévenans,47.56871200,6.86187100
Tuilerie,47.55799800,6.94053800
Turenne,47.66833100,6.84185100
Universités,47.64045100,6.86447800
Urcerey,47.60802900,6.80904800
Valdoie Blumberg,47.66481000,6.84331500
Valdoie Mairie,47.66517900,6.84169300
Varonne,47.62289900,6.86292200
Vauthiermont,47.68473000,7.03203500
Vellescot,47.57258600,7.01435100
Verboté,47.66916800,6.82373900
Verdots,47.49083200,6.91899000
Verdoyeux,47.69234800,6.87653600
Vergers,47.57170100,6.94142700
Vernattes,47.52263500,7.02797200
Vernois,47.63290200,7.00883500
Vescemont,47.74328100,6.84553700
Vie de Ban,47.65786300,7.02482600
Vieux Lavoir,47.67072600,6.94797100
Villars le Sec,47.45639900,6.99054300
Voivre,47.53151300,6.99665300
Vosges,47.57602900,6.99516300
Véronne,47.68523500,6.81967700
Vétrigne,47.66980600,6.89897100
Vézelois,47.60704000,6.91822200
ZA Pellerie,47.54181400,6.95993600
Zac des Saules,47.59706400,6.85641400
ZAC Est,47.64264200,6.92018400
ZAC Ouest,47.64239200,6.91442700
ZI de Baviliers,47.61154800,6.82811300
Zi de Bourogne,47.55051900,6.92126900
Zone Industrielle,47.68219500,6.97435200
Écluse,47.56587500,6.94416000
École des Sources,47.67341900,6.80726800
Église de Grosne,47.57493300,6.99974900
